weather_id,country,state,reading_date,rainfall_mm,avg_temp_c,humidity_pct
37,Ghana,Greater Accra,2026-01-04,9.7,31.0,76.8
38,Kenya,Nakuru,2026-01-04,0.0,21.6,53.1
39,Kenya,Kiambu,2026-01-04,6.0,27.5,68.6
40,Kenya,Kisumu,2026-01-04,0.0,27.5,47.4
41,Nigeria,Kaduna,2026-01-05,2.9,26.4,71.4
42,Nigeria,Kano,2026-01-05,6.5,30.4,75.8
43,Nigeria,Rivers,2026-01-05,0.0,31.4,49.7
44,Nigeria,Benue,2026-01-05,0.0,27.5,51.4
45,Nigeria,Oyo,2026-01-05,1.0,28.9,60.3
46,Ghana,Ashanti,2026-01-05,0.0,30.1,56.6
47,Ghana,Greater Accra,2026-01-05,0.8,24.8,49.9
48,Kenya,Nakuru,2026-01-05,0.7,20.2,65.2
49,Kenya,Kiambu,2026-01-05,3.9,20.7,72.8
50,Kenya,Kisumu,2026-01-05,0.0,22.9,60.4
51,Nigeria,Kaduna,2026-01-06,4.8,25.5,69.3
52,Nigeria,Kano,2026-01-06,0.6,27.5,64.7
53,Nigeria,Rivers,2026-01-06,0.0,26.4,52.5
54,Nigeria,Benue,2026-01-06,2.7,31.4,56.1
55,Nigeria,Oyo,2026-01-06,3.2,25.9,70.9
56,Ghana,Ashanti,2026-01-06,0.0,27.3,57.1
57,Ghana,Greater Accra,2026-01-06,0.0,26.2,62.3
58,Kenya,Nakuru,2026-01-06,0.0,22.0,49.0
59,Kenya,Kiambu,2026-01-06,9.8,20.8,70.1
60,Kenya,Kisumu,2026-01-06,0.0,27.0,55.5
61,Nigeria,Kaduna,2026-01-07,0.0,29.7,64.8
62,Nigeria,Kano,2026-01-07,2.5,27.9,60.7
63,Nigeria,Rivers,2026-01-07,0.0,25.2,55.9
64,Nigeria,Benue,2026-01-07,0.0,30.4,53.2
65,Nigeria,Oyo,2026-01-07,0.6,28.0,51.6
66,Ghana,Ashanti,2026-01-07,2.9,29.0,65.9
67,Ghana,Greater Accra,2026-01-07,3.2,31.5,71.6
68,Kenya,Nakuru,2026-01-07,0.5,21.6,59.6
69,Kenya,Kiambu,2026-01-07,0.0,26.3,53.4
70,Kenya,Kisumu,2026-01-07,8.3,27.9,75.1
71,Nigeria,Kaduna,2026-01-08,0.0,32.9,53.6
72,Nigeria,Kano,2026-01-08,0.0,27.0,56.2
73,Nigeria,Rivers,2026-01-08,10.1,25.2,76.0
74,Nigeria,Benue,2026-01-08,0.5,26.3,59.9
75,Nigeria,Oyo,2026-01-08,0.5,33.0,54.3
76,Ghana,Ashanti,2026-01-08,0.0,26.2,64.9
77,Ghana,Greater Accra,2026-01-08,0.0,26.7,47.6
78,Kenya,Nakuru,2026-01-08,0.0,27.0,63.7
79,Kenya,Kiambu,2026-01-08,6.7,22.4,66.0
80,Kenya,Kisumu,2026-01-08,1.9,23.8,58.2
81,Nigeria,Kaduna,2026-01-09,0.4,28.0,54.6
82,Nigeria,Kano,2026-01-09,0.0,29.1,64.9
83,Nigeria,Rivers,2026-01-09,0.0,26.1,53.2
84,Nigeria,Benue,2026-01-09,4.4,27.1,60.5
85,Nigeria,Oyo,2026-01-09,1.2,28.6,61.8
86,Ghana,Ashanti,2026-01-09,3.1,30.4,70.7
87,Ghana,Greater Accra,2026-01-09,7.0,24.2,65.4
88,Kenya,Nakuru,2026-01-09,0.0,26.1,51.4
89,Kenya,Kiambu,2026-01-09,2.1,24.6,56.2
90,Kenya,Kisumu,2026-01-09,2.8,20.7,54.8
91,Nigeria,Kaduna,2026-01-10,0.4,27.7,64.3
92,Nigeria,Kano,2026-01-10,0.0,25.6,57.5
93,Nigeria,Rivers,2026-01-10,11.8,30.0,80.1
94,Nigeria,Benue,2026-01-10,0.0,30.3,58.0
95,Nigeria,Oyo,2026-01-10,3.6,32.3,71.8
96,Ghana,Ashanti,2026-01-10,2.3,25.5,65.1
97,Ghana,Greater Accra,2026-01-10,5.1,29.5,62.5
98,Kenya,Nakuru,2026-01-10,3.8,25.7,62.7
99,Kenya,Kiambu,2026-01-10,0.0,26.5,59.7
100,Kenya,Kisumu,2026-01-10,0.0,24.0,59.7
101,Nigeria,Kaduna,2026-01-11,0.0,29.7,62.5
102,Nigeria,Kano,2026-01-11,2.7,28.5,62.5
103,Nigeria,Rivers,2026-01-11,11.0,27.1,88.1
104,Nigeria,Benue,2026-01-11,6.7,29.6,65.8
105,Nigeria,Oyo,2026-01-11,6.3,26.5,76.8
106,Ghana,Ashanti,2026-01-11,6.3,30.1,65.5
107,Ghana,Greater Accra,2026-01-11,0.0,26.4,54.4
108,Kenya,Nakuru,2026-01-11,6.2,25.1,65.1
109,Kenya,Kiambu,2026-01-11,1.5,21.9,50.5
110,Kenya,Kisumu,2026-01-11,5.2,27.1,71.2
111,Nigeria,Kaduna,2026-01-12,1.0,25.5,58.3
112,Nigeria,Kano,2026-01-12,3.8,32.2,56.9
113,Nigeria,Rivers,2026-01-12,1.7,30.4,67.0
114,Nigeria,Benue,2026-01-12,0.0,28.6,64.6
115,Nigeria,Oyo,2026-01-12,0.0,31.2,63.5
116,Ghana,Ashanti,2026-01-12,0.0,29.6,57.9
117,Ghana,Greater Accra,2026-01-12,6.5,29.8,67.7
118,Kenya,Nakuru,2026-01-12,0.2,22.9,62.0
119,Kenya,Kiambu,2026-01-12,0.0,23.9,56.8
120,Kenya,Kisumu,2026-01-12,4.0,26.0,60.2
121,Nigeria,Kaduna,2026-01-13,4.4,28.3,73.0
122,Nigeria,Kano,2026-01-13,6.9,27.6,77.2
123,Nigeria,Rivers,2026-01-13,5.3,31.9,67.6
124,Nigeria,Benue,2026-01-13,0.1,26.2,60.6
125,Nigeria,Oyo,2026-01-13,0.0,32.0,61.2
126,Ghana,Ashanti,2026-01-13,7.9,27.1,80.9
127,Ghana,Greater Accra,2026-01-13,3.8,27.5,70.4
128,Kenya,Nakuru,2026-01-13,4.6,27.2,60.3
129,Kenya,Kiambu,2026-01-13,4.1,20.1,65.0
130,Kenya,Kisumu,2026-01-13,0.6,22.2,51.9
131,Nigeria,Kaduna,2026-01-14,0.0,31.6,62.4
132,Nigeria,Kano,2026-01-14,1.5,27.2,54.0
133,Nigeria,Rivers,2026-01-14,0.0,28.5,62.3
134,Nigeria,Benue,2026-01-14,0.0,28.9,59.0
135,Nigeria,Oyo,2026-01-14,0.4,32.6,60.5
136,Ghana,Ashanti,2026-01-14,3.0,28.9,56.5
137,Ghana,Greater Accra,2026-01-14,0.0,25.7,55.8
138,Kenya,Nakuru,2026-01-14,1.0,27.7,60.6
139,Kenya,Kiambu,2026-01-14,0.0,24.9,58.0
140,Kenya,Kisumu,2026-01-14,4.4,24.8,66.7
141,Nigeria,Kaduna,2026-01-15,0.0,30.5,49.3
142,Nigeria,Kano,2026-01-15,4.8,29.5,66.5
143,Nigeria,Rivers,2026-01-15,5.3,27.0,76.2
144,Nigeria,Benue,2026-01-15,1.9,30.5,67.8
145,Nigeria,Oyo,2026-01-15,6.1,32.2,69.7
146,Ghana,Ashanti,2026-01-15,0.0,26.2,53.1
147,Ghana,Greater Accra,2026-01-15,3.2,31.2,71.7
148,Kenya,Nakuru,2026-01-15,0.0,26.3,57.3
149,Kenya,Kiambu,2026-01-15,6.8,24.9,77.3
150,Kenya,Kisumu,2026-01-15,0.0,22.0,57.1
151,Nigeria,Kaduna,2026-01-16,4.2,32.0,63.5
152,Nigeria,Kano,2026-01-16,0.0,26.2,52.8
153,Nigeria,Rivers,2026-01-16,0.0,32.2,64.0
154,Nigeria,Benue,2026-01-16,0.7,30.8,49.8
155,Nigeria,Oyo,2026-01-16,0.0,31.2,59.8
156,Ghana,Ashanti,2026-01-16,3.2,26.9,68.3
157,Ghana,Greater Accra,2026-01-16,0.0,24.0,53.4
158,Kenya,Nakuru,2026-01-16,2.0,25.0,61.6
159,Kenya,Kiambu,2026-01-16,3.6,23.9,60.9
160,Kenya,Kisumu,2026-01-16,0.0,27.1,50.6
161,Nigeria,Kaduna,2026-01-17,2.5,32.4,63.6
162,Nigeria,Kano,2026-01-17,0.0,27.4,48.1
163,Nigeria,Rivers,2026-01-17,5.1,29.0,63.3
164,Nigeria,Benue,2026-01-17,0.0,28.0,59.6
165,Nigeria,Oyo,2026-01-17,3.5,26.6,60.4
166,Ghana,Ashanti,2026-01-17,0.0,24.2,58.6
167,Ghana,Greater Accra,2026-01-17,0.0,30.2,64.9
168,Kenya,Nakuru,2026-01-17,3.3,23.6,61.5
169,Kenya,Kiambu,2026-01-17,3.9,22.5,72.8
170,Kenya,Kisumu,2026-01-17,5.1,23.6,62.3
171,Nigeria,Kaduna,2026-01-18,0.0,29.7,52.8
172,Nigeria,Kano,2026-01-18,0.0,25.1,47.9
173,Nigeria,Rivers,2026-01-18,0.0,26.1,62.0
174,Nigeria,Benue,2026-01-18,5.5,28.0,60.2
175,Nigeria,Oyo,2026-01-18,0.0,26.4,58.0
176,Ghana,Ashanti,2026-01-18,2.9,30.1,65.3
177,Ghana,Greater Accra,2026-01-18,0.0,24.3,56.2
178,Kenya,Nakuru,2026-01-18,7.5,25.8,77.1
179,Kenya,Kiambu,2026-01-18,0.0,21.1,48.8
180,Kenya,Kisumu,2026-01-18,1.7,21.3,63.7
181,Nigeria,Kaduna,2026-01-19,4.7,27.9,59.2
182,Nigeria,Kano,2026-01-19,3.6,27.7,56.4
183,Nigeria,Rivers,2026-01-19,0.3,28.3,62.0
184,Nigeria,Benue,2026-01-19,2.3,30.6,62.2
185,Nigeria,Oyo,2026-01-19,3.8,26.3,69.5
186,Ghana,Ashanti,2026-01-19,3.0,30.9,57.9
187,Ghana,Greater Accra,2026-01-19,7.2,24.2,75.1
188,Kenya,Nakuru,2026-01-19,3.6,25.6,63.9
189,Kenya,Kiambu,2026-01-19,8.0,27.6,82.6
190,Kenya,Kisumu,2026-01-19,3.3,21.1,60.3
191,Nigeria,Kaduna,2026-01-20,0.0,28.2,56.2
192,Nigeria,Kano,2026-01-20,5.2,27.3,59.3
193,Nigeria,Rivers,2026-01-20,0.6,25.5,52.0
194,Nigeria,Benue,2026-01-20,0.0,25.3,51.1
195,Nigeria,Oyo,2026-01-20,0.0,25.6,62.9
196,Ghana,Ashanti,2026-01-20,1.7,28.1,65.8
197,Ghana,Greater Accra,2026-01-20,0.0,24.1,58.3
198,Kenya,Nakuru,2026-01-20,2.9,25.0,58.4
199,Kenya,Kiambu,2026-01-20,0.0,26.7,60.6
200,Kenya,Kisumu,2026-01-20,4.3,22.1,60.5
201,Nigeria,Kaduna,2026-01-21,4.7,30.2,65.9
202,Nigeria,Kano,2026-01-21,0.0,28.6,64.4
203,Nigeria,Rivers,2026-01-21,0.0,26.6,49.0
204,Nigeria,Benue,2026-01-21,0.0,28.1,48.9
205,Nigeria,Oyo,2026-01-21,4.0,31.1,69.4
206,Ghana,Ashanti,2026-01-21,0.4,26.4,60.3
207,Ghana,Greater Accra,2026-01-21,2.7,26.4,61.5
208,Kenya,Nakuru,2026-01-21,6.7,25.2,66.6
209,Kenya,Kiambu,2026-01-21,7.4,21.7,64.5
210,Kenya,Kisumu,2026-01-21,0.0,20.1,61.9
211,Nigeria,Kaduna,2026-01-22,3.2,32.6,61.4
212,Nigeria,Kano,2026-01-22,0.0,27.6,64.7
213,Nigeria,Rivers,2026-01-22,0.0,28.9,57.1
214,Nigeria,Benue,2026-01-22,0.1,27.3,64.9
215,Nigeria,Oyo,2026-01-22,3.4,29.9,70.7
216,Ghana,Ashanti,2026-01-22,0.0,30.8,58.1
217,Ghana,Greater Accra,2026-01-22,7.5,31.4,69.8
218,Kenya,Nakuru,2026-01-22,0.0,23.1,57.2
219,Kenya,Kiambu,2026-01-22,2.2,21.7,55.5
220,Kenya,Kisumu,2026-01-22,2.6,23.4,68.8
221,Nigeria,Kaduna,2026-01-23,5.2,25.2,72.8
222,Nigeria,Kano,2026-01-23,3.4,32.2,60.3
223,Nigeria,Rivers,2026-01-23,0.8,32.1,63.2
224,Nigeria,Benue,2026-01-23,10.7,26.6,88.2
225,Nigeria,Oyo,2026-01-23,1.3,25.2,66.7
226,Ghana,Ashanti,2026-01-23,0.0,27.8,47.3
227,Ghana,Greater Accra,2026-01-23,4.0,31.0,66.7
228,Kenya,Nakuru,2026-01-23,3.0,24.5,58.8
229,Kenya,Kiambu,2026-01-23,0.2,25.9,50.1
230,Kenya,Kisumu,2026-01-23,0.0,20.5,59.2
231,Nigeria,Kaduna,2026-01-24,6.1,31.6,68.5
232,Nigeria,Kano,2026-01-24,2.4,32.8,62.8
233,Nigeria,Rivers,2026-01-24,2.9,31.2,58.7
234,Nigeria,Benue,2026-01-24,1.9,27.3,60.0
235,Nigeria,Oyo,2026-01-24,1.8,27.2,66.8
236,Ghana,Ashanti,2026-01-24,0.7,25.9,56.6
237,Ghana,Greater Accra,2026-01-24,7.3,31.0,78.8
238,Kenya,Nakuru,2026-01-24,1.6,23.5,67.8
239,Kenya,Kiambu,2026-01-24,0.0,26.8,47.9
240,Kenya,Kisumu,2026-01-24,1.7,22.9,61.7
241,Nigeria,Kaduna,2026-01-25,0.0,26.3,58.9
242,Nigeria,Kano,2026-01-25,2.7,28.0,63.2
243,Nigeria,Rivers,2026-01-25,5.5,27.8,62.7
244,Nigeria,Benue,2026-01-25,6.7,28.2,70.8
245,Nigeria,Oyo,2026-01-25,0.0,31.5,60.5
246,Ghana,Ashanti,2026-01-25,4.2,28.0,66.5
247,Ghana,Greater Accra,2026-01-25,0.0,28.8,62.9
248,Kenya,Nakuru,2026-01-25,4.8,22.7,64.4
249,Kenya,Kiambu,2026-01-25,0.0,26.9,50.0
250,Kenya,Kisumu,2026-01-25,2.9,20.3,62.8
251,Nigeria,Kaduna,2026-01-26,5.1,29.8,68.4
252,Nigeria,Kano,2026-01-26,0.0,31.7,49.9
253,Nigeria,Rivers,2026-01-26,2.2,31.5,55.7
254,Nigeria,Benue,2026-01-26,0.0,30.5,48.5
255,Nigeria,Oyo,2026-01-26,0.0,29.0,47.8
256,Ghana,Ashanti,2026-01-26,2.4,24.8,52.7
257,Ghana,Greater Accra,2026-01-26,6.9,25.3,67.0
258,Kenya,Nakuru,2026-01-26,0.0,25.7,53.0
259,Kenya,Kiambu,2026-01-26,6.3,26.4,71.4
260,Kenya,Kisumu,2026-01-26,5.9,23.2,72.3
261,Nigeria,Kaduna,2026-01-27,0.0,31.0,59.4
262,Nigeria,Kano,2026-01-27,4.8,32.9,62.0
263,Nigeria,Rivers,2026-01-27,0.1,30.6,60.7
264,Nigeria,Benue,2026-01-27,0.0,30.7,63.1
265,Nigeria,Oyo,2026-01-27,8.5,29.0,83.1
266,Ghana,Ashanti,2026-01-27,0.1,29.6,52.8
267,Ghana,Greater Accra,2026-01-27,1.6,25.7,62.2
268,Kenya,Nakuru,2026-01-27,0.0,27.6,50.4
269,Kenya,Kiambu,2026-01-27,4.8,21.7,73.0
270,Kenya,Kisumu,2026-01-27,1.8,25.4,52.4
271,Nigeria,Kaduna,2026-01-28,0.0,32.6,58.9
272,Nigeria,Kano,2026-01-28,2.1,25.1,62.6
273,Nigeria,Rivers,2026-01-28,0.0,27.4,58.1
274,Nigeria,Benue,2026-01-28,4.7,32.4,69.3
275,Nigeria,Oyo,2026-01-28,0.0,32.8,56.0
276,Ghana,Ashanti,2026-01-28,0.0,26.8,51.6
277,Ghana,Greater Accra,2026-01-28,0.0,30.0,60.9
278,Kenya,Nakuru,2026-01-28,2.7,23.4,63.7
279,Kenya,Kiambu,2026-01-28,8.6,25.5,84.8
280,Kenya,Kisumu,2026-01-28,0.0,23.0,64.3
281,Nigeria,Kaduna,2026-01-29,1.6,27.0,52.3
282,Nigeria,Kano,2026-01-29,0.0,27.0,62.0
283,Nigeria,Rivers,2026-01-29,0.3,28.0,53.7
284,Nigeria,Benue,2026-01-29,0.2,29.8,55.9
285,Nigeria,Oyo,2026-01-29,0.0,30.6,55.1
286,Ghana,Ashanti,2026-01-29,6.1,28.9,62.6
287,Ghana,Greater Accra,2026-01-29,0.0,29.4,47.5
288,Kenya,Nakuru,2026-01-29,0.0,24.1,48.2
289,Kenya,Kiambu,2026-01-29,2.8,24.5,68.0
290,Kenya,Kisumu,2026-01-29,4.4,24.3,70.2
291,Nigeria,Kaduna,2026-01-30,1.5,29.1,53.5
292,Nigeria,Kano,2026-01-30,3.5,28.6,70.4
293,Nigeria,Rivers,2026-01-30,6.8,28.4,74.9
294,Nigeria,Benue,2026-01-30,2.8,32.7,54.9
295,Nigeria,Oyo,2026-01-30,0.0,28.1,60.4
296,Ghana,Ashanti,2026-01-30,1.8,29.2,54.4
297,Ghana,Greater Accra,2026-01-30,0.0,25.8,62.6
298,Kenya,Nakuru,2026-01-30,3.9,24.7,64.8
299,Kenya,Kiambu,2026-01-30,0.0,27.6,49.1
300,Kenya,Kisumu,2026-01-30,0.0,21.3,49.4
301,Nigeria,Kaduna,2026-01-31,6.9,25.2,71.8
302,Nigeria,Kano,2026-01-31,0.8,31.4,56.5
303,Nigeria,Rivers,2026-01-31,0.0,27.9,56.8
304,Nigeria,Benue,2026-01-31,0.0,28.3,47.6
305,Nigeria,Oyo,2026-01-31,0.0,25.5,48.6
306,Ghana,Ashanti,2026-01-31,3.9,31.0,68.0
307,Ghana,Greater Accra,2026-01-31,0.0,25.9,63.7
308,Kenya,Nakuru,2026-01-31,2.3,21.1,52.6
309,Kenya,Kiambu,2026-01-31,3.7,21.6,67.4
310,Kenya,Kisumu,2026-01-31,2.8,24.4,63.5
311,Nigeria,Kaduna,2026-02-01,0.0,30.3,57.5
312,Nigeria,Kano,2026-02-01,3.0,25.9,54.6
313,Nigeria,Rivers,2026-02-01,2.5,31.0,59.8
314,Nigeria,Benue,2026-02-01,4.7,28.0,67.1
315,Nigeria,Oyo,2026-02-01,6.4,27.1,71.2
316,Ghana,Ashanti,2026-02-01,1.9,26.4,65.9
317,Ghana,Greater Accra,2026-02-01,0.2,27.8,51.4
318,Kenya,Nakuru,2026-02-01,4.2,25.3,65.3
319,Kenya,Kiambu,2026-02-01,2.1,24.4,63.0
320,Kenya,Kisumu,2026-02-01,3.9,26.9,57.2
321,Nigeria,Kaduna,2026-02-02,0.0,26.2,60.7
322,Nigeria,Kano,2026-02-02,0.0,28.8,64.8
323,Nigeria,Rivers,2026-02-02,3.7,30.0,62.8
324,Nigeria,Benue,2026-02-02,2.6,30.0,69.8
325,Nigeria,Oyo,2026-02-02,3.4,31.0,55.6
326,Ghana,Ashanti,2026-02-02,0.0,26.6,54.1
327,Ghana,Greater Accra,2026-02-02,3.8,27.0,63.8
328,Kenya,Nakuru,2026-02-02,7.5,26.7,68.4
329,Kenya,Kiambu,2026-02-02,5.3,27.6,68.4
330,Kenya,Kisumu,2026-02-02,0.0,23.3,62.7
331,Nigeria,Kaduna,2026-02-03,0.0,29.2,55.9
332,Nigeria,Kano,2026-02-03,0.0,25.6,57.8
333,Nigeria,Rivers,2026-02-03,0.0,30.6,61.0
334,Nigeria,Benue,2026-02-03,4.1,31.2,57.0
335,Nigeria,Oyo,2026-02-03,0.9,30.2,66.9
336,Ghana,Ashanti,2026-02-03,4.7,26.7,72.9
337,Ghana,Greater Accra,2026-02-03,0.0,30.8,55.5
338,Kenya,Nakuru,2026-02-03,0.0,23.9,60.6
339,Kenya,Kiambu,2026-02-03,4.3,24.5,69.3
340,Kenya,Kisumu,2026-02-03,0.0,24.8,61.1
341,Nigeria,Kaduna,2026-02-04,3.9,30.5,73.4
342,Nigeria,Kano,2026-02-04,4.3,29.3,67.9
343,Nigeria,Rivers,2026-02-04,6.7,32.5,78.2
344,Nigeria,Benue,2026-02-04,3.7,29.8,59.5
345,Nigeria,Oyo,2026-02-04,4.7,26.9,61.2
346,Ghana,Ashanti,2026-02-04,0.0,31.8,50.5
347,Ghana,Greater Accra,2026-02-04,0.0,26.2,57.8
348,Kenya,Nakuru,2026-02-04,6.7,25.4,65.7
349,Kenya,Kiambu,2026-02-04,0.0,26.4,59.4
350,Kenya,Kisumu,2026-02-04,0.0,21.5,59.3
351,Nigeria,Kaduna,2026-02-05,0.3,26.6,56.1
352,Nigeria,Kano,2026-02-05,0.0,29.2,49.1
353,Nigeria,Rivers,2026-02-05,0.9,27.0,59.9
354,Nigeria,Benue,2026-02-05,0.0,30.1,53.1
355,Nigeria,Oyo,2026-02-05,7.0,28.0,70.2
356,Ghana,Ashanti,2026-02-05,0.0,29.7,63.8
357,Ghana,Greater Accra,2026-02-05,0.0,26.0,48.3
358,Kenya,Nakuru,2026-02-05,2.4,21.0,59.4
359,Kenya,Kiambu,2026-02-05,0.0,20.5,61.6
360,Kenya,Kisumu,2026-02-05,0.2,22.0,56.5
361,Nigeria,Kaduna,2026-02-06,6.1,31.6,70.3
362,Nigeria,Kano,2026-02-06,0.0,28.4,51.8
363,Nigeria,Rivers,2026-02-06,7.1,28.9,65.2
364,Nigeria,Benue,2026-02-06,0.9,28.5,54.6
365,Nigeria,Oyo,2026-02-06,2.8,31.1,71.4
366,Ghana,Ashanti,2026-02-06,3.1,24.3,55.3
367,Ghana,Greater Accra,2026-02-06,5.4,25.0,61.1
368,Kenya,Nakuru,2026-02-06,4.6,25.9,65.2
369,Kenya,Kiambu,2026-02-06,7.2,20.5,65.6
370,Kenya,Kisumu,2026-02-06,3.0,27.8,66.8
371,Nigeria,Kaduna,2026-02-07,0.9,26.8,59.9
372,Nigeria,Kano,2026-02-07,4.4,31.0,73.8
373,Nigeria,Rivers,2026-02-07,0.0,25.2,57.5
374,Nigeria,Benue,2026-02-07,3.8,31.1,58.9
375,Nigeria,Oyo,2026-02-07,5.3,29.3,59.6
376,Ghana,Ashanti,2026-02-07,0.7,25.3,58.8
377,Ghana,Greater Accra,2026-02-07,0.0,30.5,49.2
378,Kenya,Nakuru,2026-02-07,0.0,22.0,54.3
379,Kenya,Kiambu,2026-02-07,1.8,27.1,67.6
380,Kenya,Kisumu,2026-02-07,7.0,22.2,63.1
381,Nigeria,Kaduna,2026-02-08,0.0,31.9,62.3
382,Nigeria,Kano,2026-02-08,0.0,28.6,51.2
383,Nigeria,Rivers,2026-02-08,3.9,28.6,58.6
384,Nigeria,Benue,2026-02-08,0.0,32.1,62.3
385,Nigeria,Oyo,2026-02-08,1.5,31.1,54.2
386,Ghana,Ashanti,2026-02-08,0.6,29.4,56.3
387,Ghana,Greater Accra,2026-02-08,4.1,24.2,65.5
388,Kenya,Nakuru,2026-02-08,0.0,23.1,55.0
389,Kenya,Kiambu,2026-02-08,2.1,20.6,66.9
390,Kenya,Kisumu,2026-02-08,3.6,25.5,58.4
391,Nigeria,Kaduna,2026-02-09,0.0,27.8,51.9
392,Nigeria,Kano,2026-02-09,3.1,30.7,70.3
393,Nigeria,Rivers,2026-02-09,0.0,32.7,59.4
394,Nigeria,Benue,2026-02-09,7.1,29.5,75.0
395,Nigeria,Oyo,2026-02-09,7.3,25.2,74.1
396,Ghana,Ashanti,2026-02-09,4.0,26.9,56.6
397,Ghana,Greater Accra,2026-02-09,0.0,27.4,54.9
398,Kenya,Nakuru,2026-02-09,3.2,22.8,59.2
399,Kenya,Kiambu,2026-02-09,4.1,21.3,60.5
400,Kenya,Kisumu,2026-02-09,0.0,24.7,56.3
401,Nigeria,Kaduna,2026-02-10,0.0,25.3,53.9
402,Nigeria,Kano,2026-02-10,1.0,25.4,53.4
403,Nigeria,Rivers,2026-02-10,0.9,29.9,59.0
404,Nigeria,Benue,2026-02-10,0.0,27.0,56.5
405,Nigeria,Oyo,2026-02-10,1.4,26.1,58.1
406,Ghana,Ashanti,2026-02-10,3.8,31.0,59.0
407,Ghana,Greater Accra,2026-02-10,0.0,24.5,62.7
408,Kenya,Nakuru,2026-02-10,2.8,25.0,63.7
409,Kenya,Kiambu,2026-02-10,3.2,26.9,67.6
410,Kenya,Kisumu,2026-02-10,0.0,22.3,55.5
411,Nigeria,Kaduna,2026-02-11,0.0,25.1,64.3
412,Nigeria,Kano,2026-02-11,2.6,29.8,54.4
413,Nigeria,Rivers,2026-02-11,2.0,31.3,61.1
414,Nigeria,Benue,2026-02-11,0.0,31.2,57.0
415,Nigeria,Oyo,2026-02-11,0.0,29.3,50.4
416,Ghana,Ashanti,2026-02-11,3.3,30.3,60.5
417,Ghana,Greater Accra,2026-02-11,3.0,30.5,62.9
418,Kenya,Nakuru,2026-02-11,4.3,27.2,64.0
419,Kenya,Kiambu,2026-02-11,3.7,26.8,60.0
420,Kenya,Kisumu,2026-02-11,5.4,24.9,66.0
421,Nigeria,Kaduna,2026-02-12,2.4,28.6,65.4
422,Nigeria,Kano,2026-02-12,0.0,30.7,49.9
423,Nigeria,Rivers,2026-02-12,0.6,32.9,50.8
424,Nigeria,Benue,2026-02-12,0.8,27.3,58.3
425,Nigeria,Oyo,2026-02-12,0.0,29.4,60.1
426,Ghana,Ashanti,2026-02-12,1.9,31.1,59.8
427,Ghana,Greater Accra,2026-02-12,0.0,30.3,57.4
428,Kenya,Nakuru,2026-02-12,0.0,26.7,54.3
429,Kenya,Kiambu,2026-02-12,1.4,21.3,65.7
430,Kenya,Kisumu,2026-02-12,10.9,21.0,72.7
431,Nigeria,Kaduna,2026-02-13,13.1,31.7,79.2
432,Nigeria,Kano,2026-02-13,7.3,32.2,70.6
433,Nigeria,Rivers,2026-02-13,1.2,28.9,63.3
434,Nigeria,Benue,2026-02-13,2.3,26.7,66.3
435,Nigeria,Oyo,2026-02-13,1.5,29.7,64.1
